																					5082_submitter_file2__7.15.063en.JPG	nematode, nematode worm, roundworm	a large bird flying over a body of water .
																					5090_submitter_file1__DSC01691.JPG	parachute, chute	a plane flying in the sky with a sky background
																					5090_submitter_file2__DSC01692.JPG	parachute, chute	a plane flying in the sky with a sky background
																					5092_submitter_file1__7.16.063.JPG	parachute, chute	a plane flying in the sky on a cloudy day .
																					5092_submitter_file2__7.16.063en.JPG	missile	a large white bird flying through the air .
																					5092_submitter_file3__7.16.063enh.JPG	projectile, missile	a pair of scissors and a pair of scissors .
																					5094_submitter_file1__HPIM0411.JPG	nematode, nematode worm, roundworm	a black and white photo of a person on a laptop .
																					5096_submitter_file1__DSC04555.JPG	volcano	a plane is flying over a body of water
																					5099_submitter_file2__Img_JC01.jpg	nematode, nematode worm, roundworm	a black and white photo of a person on a skateboard .
																					5099_submitter_file3__Img_JC10.jpg	nematode, nematode worm, roundworm	a black and white photo of a black and white clock
																					5105_submitter_file1__7-16-2006-04.jpg	street sign	a street sign on a pole with a sky background
																					5106_submitter_file1__7-16-2006-04.jpg	street sign	a street sign on a pole with a sky background
																					5108_submitter_file1__DSC01797.JPG	space shuttle	a large jetliner flying through a cloudy blue sky .
																					5108_submitter_file2__DSC01806.JPG	matchstick	a picture of a person in the dark .
																					5108_submitter_file3__DSC01813.JPG	spotlight, spot	a person is flying a kite in the sky .
																					5110_submitter_file1__3.jpg	water snake	a black and white photo of a clock tower .
																					5110_submitter_file2__11.jpg	nematode, nematode worm, roundworm	a black and white photo of a street light .
																					5110_submitter_file3__1.jpg	corkscrew, bottle screw	a large jetliner flying through a cloudy blue sky .
																					5188_submitter_file1__Jessie-Jacksons-UFO.jpg	caldron, cauldron	a person is flying a kite in a park .
																					5188_submitter_file2__ufo.jpg	fountain	a picture of a tree in the dark .
																					5188_submitter_file3__ufo-large.jpg	fountain	a fire hydrant in the middle of a forest .
																					5195_submitter_file1__Thebeginingofthelightsinthenight.JPG	web site, website, internet site, site	a picture of a person holding a cell phone .
																					5195_submitter_file2__Thebeginingofthelightsinthenight2.JPG	web site, website, internet site, site	a close up of a person holding a pair of scissors
																					5195_submitter_file3__Thebeginingofthelightsinthenight3.JPG	web site, website, internet site, site	a black and white photo of a tennis player
																					5196_submitter_file1__JCdisks80506.jpg	traffic light, traffic signal, stoplight	a traffic light sitting on the side of a road .
																					5197_submitter_file1__FH000002_edited.JPG	alp	a herd of sheep grazing on a lush green hillside .
																					5197_submitter_file2__FH000003_edited.JPG	alp	a herd of sheep grazing on a lush green hillside .
																					5197_submitter_file3__FH000004_edited.JPG	alp	a large body of water next to a forest .
																					5670_submitter_file1__11.2.06ca.JPG	parachute, chute	a plane flying in the sky over a mountain .
																					5670_submitter_file2__11.2.06ca.eh.JPG	tick	a small white bird is standing on the beach
																					5679_submitter_file1__IMGA0248_largerview.jpg	megalith, megalithic structure	a view of a mountain range with mountains in the background .
																					5679_submitter_file2__IMGA0248Contrast_copy.jpg	tick	a small white and black bird is in the water .
																					5679_submitter_file3__CopyofIMGA0249.JPG	alp	a person is flying a kite in a field .
																					5699_submitter_file1__MonnightMay152006040Upperrightcornerinthesky...i.jpg	missile	a plane flying in the sky over a mountain .
																					5699_submitter_file2__SateveJuly222006120Zoominonglowingthinginskyithasadarktail..jpg	balloon	a stop sign with a sky background and clouds
																					5701_submitter_file1__100_7360.JPG	alp	a view of a mountain range with mountains in the background .
																					5701_submitter_file2__100_7355.JPG	pole	a view of a mountain range with a mountain in the background .
																					5778_submitter_file2__nobiembre19(2).jpg	totem pole	a kite flying in the sky over a tree .
																					5784_submitter_file1__11.20.06ca.1.JPG	parachute, chute	a group of people flying kites on a beach .
																					5784_submitter_file2__11.20.06ca.1.1.JPG	switch, electric switch, electrical switch	a black and white photo of a person holding a frisbee .
																					5784_submitter_file3__11.20.06ca.1eh.JPG	tick	a person is skiing down a snowy hill .
																					5787_submitter_file1__UFO_Drawings(3).JPG	slot, one-armed bandit	a collage of photos of a person holding a cake
																					5818_submitter_file1__IMG_3854.JPG	valley, vale	a group of people standing on top of a mountain .
																					5819_submitter_file1__DSC01285.JPG	drilling platform, offshore rig	a plane flying in the sky over a city .
																					5819_submitter_file2__DSC01286.JPG	nematode, nematode worm, roundworm	a person is flying a kite in the air .
																					5819_submitter_file3__DSC01287.JPG	nematode, nematode worm, roundworm	a person is flying a kite in the air .
																					5823_submitter_file1__DSC_0623.JPG	drilling platform, offshore rig	a person is flying a kite on the beach .
																					5885_submitter_file1__12.6.06ca.1.JPG	fireboat	a person is flying a kite in the snow .
																					5885_submitter_file2__12.6.06ca.1eh.JPG	velvet	a blue and white photo of a plane flying in the sky
																					5885_submitter_file3__12.6.06ca.1neg..jpg	nematode, nematode worm, roundworm	a small bird sitting on top of a tree branch .
																					5891_submitter_file1__12.6.06ca.3.JPG	warplane, military plane	a plane flying in the sky with a sky background
																					5891_submitter_file2__12.6.06ca.3eh.JPG	jellyfish	a blue and white photo of a white and blue kite .
																					5892_submitter_file1__12.06.06ca.2.JPG	parachute, chute	a kite flying in the sky with a sky background
																					5892_submitter_file2__12.06.06ca.2elarg.only.JPG	lacewing, lacewing fly	a group of people standing on top of a lush green field .
																					5894_submitter_file1__diciembre(24).jpg	window screen	a close up of a white and black clock .
																					5902_submitter_file1__DSC00057.JPG	nematode, nematode worm, roundworm	a black and white photo of a clock on a wall .
																					5902_submitter_file2__DSC00046.JPG	fountain pen	a plane flying in the sky with a sky background
																					5902_submitter_file3__DSC00045.JPG	binder, ring-binder	a black and white photo of a plane flying in the sky
																					5905_submitter_file1__SunsetUFO.JPG	church, church building	a person flying a kite in a field .
																					5905_submitter_file2__SunsetUFOCropCloser.jpg	beacon, lighthouse, beacon light, pharos	a red stop sign sitting on the side of a road .
																					5905_submitter_file3__UFOContrast_and_CloseUp.jpg	volcano	a man flying a kite in a cloudy sky .
																					5925_submitter_file1__DSCN1723.JPG	barn	a red fire hydrant in the middle of a field .
																					5925_submitter_file2__DSCN1724.JPG	barn	a view of a tree in the distance .
																					5933_submitter_file1__Meteorite.jpg	rule, ruler	a pair of scissors sitting on top of a table .
																					5933_submitter_file5__Valdosta1907eMail-LargePieceFromAbove.JPG	rule, ruler	a pair of scissors sitting on top of a piece of paper .
																					5945_submitter_file1__12172006Strangobjectfirstpicture.jpg	parachute, chute	a plane flying in the sky with a sky background
																					5945_submitter_file2__12172006_edited2ndpicsamecloudasfirstbutdarkend.jpg	space shuttle	an airplane is flying in the air with a sky background
																					5945_submitter_file3__12172006(001)samecloudfewsecondslaterobjectgone.jpg	valley, vale	a giraffe standing on a lush green hillside .
																					5946_submitter_file1__12172006Strangobjectfirstpicture.jpg	parachute, chute	a plane flying in the sky with a sky background
																					5946_submitter_file2__12172006_edited2ndpicsamecloudasfirstbutdarkend.jpg	space shuttle	an airplane is flying in the air with a sky background
																					5946_submitter_file3__12172006(001)samecloudfewsecondslaterobjectgone.jpg	valley, vale	a giraffe standing on a lush green hillside .
																					6016_submitter_file1__P7290071.jpg	traffic light, traffic signal, stoplight	a city street with traffic lights and buildings .
																					6016_submitter_file2__P7290072.jpg	traffic light, traffic signal, stoplight	a street with a traffic light and a street sign .
																					6020_submitter_file1__LandoverUFO.jpg	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias	a view of a plane flying in the sky .
																					6023_submitter_file1__10-11-200507;54;01PM.JPG	jeep, landrover	a truck is parked on the side of the road .
																					6024_submitter_file1__DSC07717NowABigObjectBlack_and_Gold.JPG	barn	a stop sign on the side of a road .
																					6025_submitter_file1__DSC07716TinySpeckUpperRightSky.JPG	barn	a stop sign on the side of a road .
																					6025_submitter_file2__DSC07716Copy-TinySpeckUpperRightSky.JPG	barn	a stop sign on a street corner with a sky background
																					6025_submitter_file3__DSC07716Copy-CroppedTinySpeckUpperRightSky.jpg	flagpole, flagstaff	a group of birds flying over a snow covered forest .
																					6026_submitter_file1__DSC07717Copy1NowABigObjectBlack_and_GoldCropped.jpg	parachute, chute	a kite flying in the sky with a sky background
																					6035_submitter_file1__HPIM0275.JPG	hay	a herd of sheep grazing on a lush green field .
																					6040_submitter_file1__DSC08281.JPG	airship, dirigible	a red and white plane flying in the sky
																					6040_submitter_file2__CopyofDSC08281.JPG	parachute, chute	a white and black clock on a pole
																					6040_submitter_file3__Copy(2)ofDSC08281.JPG	wall clock	a small white and black laptop on a table
																					6041_submitter_file1__2007_01010178(2)ufodeming.jpg	submarine, pigboat, sub, U-boat	a street sign on the side of a road .
																					6045_submitter_file1__DSC00453.JPG	balloon	a kite flying in the sky with a sky background
																					6045_submitter_file2__DSC00454.JPG	balloon	a kite flying in the air with a sky background
																					6045_submitter_file3__DSC00454.JPG	balloon	a kite flying in the air with a sky background
																					6140_submitter_file1__ufo.JPG	church, church building	a view of a street with a traffic light .
																					6140_submitter_file2__ufo2.JPG	castle	a couple of giraffe standing next to each other .
																					6140_submitter_file3__ufo3(blured).JPG	church, church building	a couple of animals that are standing in the grass .
																					6146_submitter_file1__UFO.JPG	lakeside, lakeshore	a plane flying over a large body of water .
																					6152_submitter_file1__DSC00138_1.JPG	parachute, chute	a plane flying in the sky with a sky background
																					6152_submitter_file2__DSC00138.JPG	valley, vale	a horse standing in the middle of a forest .
																					6285_submitter_file1__blue.jpg	nematode, nematode worm, roundworm	a person holding a kite in the air
																					6287_submitter_file1__CTSCAN005.jpg	jellyfish	a black and white photo of a man in a suit
																					6287_submitter_file2__CTSCAN013.jpg	jellyfish	a stuffed animal is sitting on a desk
																					6287_submitter_file3__CTSCAN012.jpg	bubble	a woman holding a pair of scissors in her hands .
																					6301_submitter_file1__ATT00005.jpg	dome	a night scene of a city street at night .
																					6301_submitter_file2__ATT00003.jpg	spotlight, spot	a person is standing in a dark room .
																					6301_submitter_file3__ATT00001.jpg	spotlight, spot	a person is taking a picture of a car .
																					6310_submitter_file1__DSCI0011-1a.JPG	nematode, nematode worm, roundworm	a close up of a person holding a pair of scissors
																					6310_submitter_file2__DSCI0011-2.JPG	nematode, nematode worm, roundworm	a man holding a wii controller in his hands .
																					6310_submitter_file3__000_1046.jpg	jellyfish	a close up of a person holding a pair of scissors
																					6310_submitter_file4__pittsburgsightinghistory.jpg	maze, labyrinth	a group of people standing in front of a building .
																					6325_submitter_file1__weatherballon2.jpg	flagpole, flagstaff	a kite flying in the sky with a sky background
																					6325_submitter_file2__weatherballon.jpg	pool table, billiard table, snooker table	a blue sky with a blue sky in the background
																					6332_submitter_file1__DSCF4625cropped.jpg	digital clock	a stop sign with a street sign on it .
																					6341_submitter_file1__72250001.jpg	lakeside, lakeshore	a person flying a kite on a beach .
																					6346_submitter_file1__comparison.jpg	analog clock	a black and white photo of a street sign
																					6346_submitter_file2__ufo2.jpg	analog clock	a traffic light sitting on the side of a road .
																					6346_submitter_file3__Map.jpg	web site, website, internet site, site	a bunch of birds that are on a pole .
																					6350_submitter_file1__ovniapareciendo.jpg	torch	a traffic light suspended over a city street .
																					6350_submitter_file2__IMG_0927enlacloladelavion.jpg	wing	a plane flying in the air with a sky background
																					6350_submitter_file3__IMG_1538.JPG	kite	a plane is flying in the sky with clouds in the background .
																					6361_submitter_file1__ufo1.JPG	cleaver, meat cleaver, chopper	a person holding an umbrella in the snow .
																					6363_submitter_file1__BillyMcCarley6363drawing.jpg	oboe, hautboy, hautbois	a box with a pair of scissors on it .
																					6363_submitter_file2__BillyMcCarley6363Map.jpg	binder, ring-binder	a flock of birds sitting on top of a building .
																					6365_submitter_file1__ufo003.jpg	nematode, nematode worm, roundworm	a couple of birds are flying over a street
																					6365_submitter_file2__ufo003.jpg	nematode, nematode worm, roundworm	a couple of birds are flying over a street
																					6388_submitter_file1__100_7843.JPG	boathouse	a field with a bunch of trees in the background
																					6388_submitter_file2__100_7840.JPG	plow, plough	a field of grass with a field with a fence
																					6392_submitter_file1__hole.jpg	pier	a view of a city skyline from the airport .
																					6423_submitter_file1__UFO2.JPG	lakeside, lakeshore	a person flying a kite in the sky .
																					6424_submitter_file1__UFO4.jpg	lakeside, lakeshore	a giraffe standing in the middle of a forest .
																					6434_submitter_file1__ufo.jpg	torch	a traffic light suspended over a street at night .
																					6437_submitter_file1__wierd.jpg	harvestman, daddy longlegs, Phalangium opilio	a close up of a <UNK> with a pair of scissors
																					6441_submitter_file1__Picture045.jpg	traffic light, traffic signal, stoplight	a city street at night with lights on .
																					6441_submitter_file2__Picture046.jpg	traffic light, traffic signal, stoplight	a city street at night with a traffic light .
																					6450_submitter_file1__IMG_2048UFO.jpg	horizontal bar, high bar	a street sign on the side of a road .
																					6450_submitter_file3__Lastpic.jpg	freight car	a train crossing a bridge over a river .
																					6453_submitter_file1__dslrufo1.jpg	geyser	a plane flying in the sky with a sky background
																					6453_submitter_file2__dslrufo2.jpg	kite	a plane flying in the sky with a sky background
																					6462_submitter_file1__sielskoufo.jpg	golf ball	a herd of sheep grazing on a lush green field .
																					6482_submitter_file1__Copyof_IGP0410.jpg	bubble	a person is flying a kite in the sky .
																					6484_submitter_file1__Picture002.jpg	envelope	a pair of scissors sitting on top of a table .
																					6484_submitter_file2__Picture001.jpg	envelope	a box with a picture of a clock on it .
																					6484_submitter_file3__Picture003.jpg	envelope	a pair of scissors sitting on top of a table .
																					6495_submitter_file1__PulsatingliteMarch12007approx8pm.JPG	pug, pug-dog	a close up of a plate of food on a table
																					6503_submitter_file1__ovni1_and_2.JPG	water tower	a kite flying in the sky near a tree .
																					6504_submitter_file1__ovni3.JPG	vulture	a person flying a kite in a field .
																					6504_submitter_file2__ovni4.JPG	vulture	a person flying a kite in a field .
																					6505_submitter_file1__ovni5.JPG	bubble	a kite flying in the sky with a sky background
																					6505_submitter_file2__ovni5enlarged.JPG	nematode, nematode worm, roundworm	a plane flying in the sky with a sky background
																					6506_submitter_file1__13NJdiscMay82Boundbrook.jpg	envelope	a stop sign with a sticker on it
																					6518_submitter_file2__0040.JPG	spotlight, spot	a group of birds flying in the sky .
																					6522_submitter_file1__ufo1.jpg	nematode, nematode worm, roundworm	a person holding a cell phone in their hand .
																					6522_submitter_file2__ufo5.jpg	digital clock	a person is holding a large pair of scissors
																					6522_submitter_file3__ufo2.jpg	digital clock	a close up of a person holding a large object
																					6526_submitter_file1__OMG.jpg	lakeside, lakeshore	a person is flying a kite in a field .
																					6528_submitter_file1__mufon004.jpg	traffic light, traffic signal, stoplight	a red stop sign sitting on the side of a road .
																					6528_submitter_file2__mufon006.jpg	traffic light, traffic signal, stoplight	a red stop sign sitting on the side of a road .
																					6546_submitter_file1__ovnisalcaerlatarde.JPG	lakeside, lakeshore	a boat is sitting in the middle of a lake .
																					6547_submitter_file1__Gridley-IL.jpg	envelope	a black and white photo of a man holding a pair of scissors .
																					6547_submitter_file2__Gridley-IL_b.jpg	envelope	a black and white photo of a man flying a kite .
																					6552_submitter_file1__ufo_images19.jpg	stove	a traffic light suspended over a city street .
																					6552_submitter_file2__normal_ufo_images17.jpg	spotlight, spot	a man is standing on a stage with a microphone .
																					6555_submitter_file1__IMG_1501.JPG	nematode, nematode worm, roundworm	a black and white photo of a person on a laptop .
																					6555_submitter_file2__IMG_1502.JPG	matchstick	a black and white photo of a person holding a pair of scissors .
																					6564_submitter_file1__ufo2007.jpg	web site, website, internet site, site	a man holding a white frisbee in his hands .
																					6565_submitter_file1__FlightofCylinder.jpg	hook, claw	a stop sign with a street sign on it .
																					6566_submitter_file1__bayobject.jpg	lakeside, lakeshore	a person on a surfboard in the water .
																					6566_submitter_file2__bayobjectcloseup.jpg	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus	a plane flying in the air with a sky background
																					6567_submitter_file1__Picture093.jpg	volcano	a view of an airplane flying over a mountain .
																					6572_submitter_file1__IMGP0676_.jpg	obelisk	a large jetliner flying over a city at night .
																					6574_submitter_file1__ObjectDrawing.jpg	maze, labyrinth	a close up of a box of doughnuts
																					6576_submitter_file1__bright_object_31807a.jpg	nematode, nematode worm, roundworm	a black and white photo of a plane flying in the sky .
																					6580_submitter_file3__Enhanced.jpg	parachute, chute	a plane flying in the air with a sky background
																					6582_submitter_file1__cigar01.JPG	parachute, chute	a person flying a kite in the sky .
																					6582_submitter_file2__cigar01closeup.JPG	kite	a bird flying in the sky with a sky background
																					6583_submitter_file1__cigar03closeup.JPG	envelope	a plane flying in the sky with a sky background
																					6584_submitter_file1__ufosquadron01.JPG	bubble	a kite flying in the sky with a sky background
																					6584_submitter_file2__ufosquadron2.jpg	flagpole, flagstaff	a bird flying in the sky over a tree .
																					6584_submitter_file3__ufosquadron03.JPG	analog clock	a pair of scissors sitting on top of a table .
																					6585_submitter_file1__DSC01730.JPG	parachute, chute	a group of airplanes flying in the sky .
																					6585_submitter_file2__DSC01713.JPG	ski	a group of planes flying in the sky over a mountain .
																					6585_submitter_file3__DSC01701.JPG	parachute, chute	a plane flying in the sky over a city .
																					6588_submitter_file1__DSC04966.JPG	parachute, chute	a plane flying in the sky over a mountain .
																					6588_submitter_file2__DSC04969.JPG	beacon, lighthouse, beacon light, pharos	a large jetliner flying through a cloudy blue sky .
																					6588_submitter_file3__DSC04973.JPG	cardoon	a bird flying in the sky with a sky background
																					6593_submitter_file1__AlexFrittz8.26.2007.jpg	jean, blue jean, denim	a man standing in a living room holding a nintendo wii controller .
																					6593_submitter_file2__frittzobject1.jpg	loupe, jeweler's loupe	a picture of a sign that says <UNK> .
																					6593_submitter_file3__frittzobject2.JPG	web site, website, internet site, site	a pair of scissors and a pair of scissors .
																					6593_submitter_file4__frittzobject3.jpg	menu	a black and white photo of a man holding a skateboard .
																					6593_submitter_file5__frittzobject4.JPG	can opener, tin opener	a pair of scissors and a pair of scissors .
																					6632_submitter_file1__Picture004-5.jpg	monitor	a car driving down a road next to a forest .
																					6635_submitter_file1__Sketch.jpg	wing	a plane flying over a large body of water .
																					6636_submitter_file1__100_6673.jpg	seashore, coast, seacoast, sea-coast	a man standing on a beach holding a surfboard .
																					6636_submitter_file2__100_6678.jpg	seashore, coast, seacoast, sea-coast	a man in a wet suit holding a surfboard .
																					6636_submitter_file3__100_6682.jpg	seashore, coast, seacoast, sea-coast	a man standing on a beach holding a surfboard .
																					6645_submitter_file1__IMG_1853.JPG	alp	a man standing in a field holding a camera .
																					6646_submitter_file1__the_vessel_sighting_depicted.jpg	web site, website, internet site, site	a group of people standing on top of a lush green field .
																					6646_submitter_file2__ufo_ve3_from_underneath.jpg	pick, plectrum, plectron	a large white bird sitting on top of a tree .
																					6660_submitter_file1__mysighting.jpg	envelope	a close up of a person holding a pair of scissors
																					6666_submitter_file1__UFO-Cross.jpg	envelope	a group of kites flying in the sky .
																					6680_submitter_file1__steve4-12-20089.jpg	envelope	a black and white photo of a snow covered mountain .
																					6681_submitter_file1__ufo.JPG	park bench	a stop sign is on a pole in the snow .
																					6681_submitter_file2__ufo2.JPG	airship, dirigible	a plane flying over a large body of water .
																					6690_submitter_file1__DSC06215.JPG	baseball	a kite flying in the sky with a sky background
																					6703_submitter_file1__P3290001.JPG	umbrella	a red and white kite flying in the sky
																					6703_submitter_file2__P3290003.JPG	parachute, chute	a kite flying in the sky with a sky background
																					6707_submitter_file1__mar2607_squadron.jpg	flagpole, flagstaff	a kite flying in the sky over a tree .
																					6707_submitter_file2__mar2607_squadrona.jpg	bubble	a kite flying in the sky with a sky background
																					6708_submitter_file1__inacreditavel.jpg	balloon	a person standing in a field with a kite .
																					6708_submitter_file2__mar2207_23.JPG	pole	a view of a street with a clock tower .
																					6710_submitter_file1__mar2707_bigcigar.jpg	water tower	a kite flying in the sky over a city .
																					6710_submitter_file2__mar2707_bigcigar-a.JPG	bubble	a kite flying in the sky over a city .
																					6711_submitter_file1__mar2807_segmented.jpg	obelisk	a kite flying in the sky over a tree .
																					6711_submitter_file2__mar2807_segmented-a.JPG	parachute, chute	a person flying a kite in a park .
																					6711_submitter_file3__mar2807_segmented-b.JPG	envelope	a pair of scissors sitting on top of a table .
																					6713_submitter_file1__thomas210.jpg	tench, Tinca tinca	a man in a suit and tie holding a cell phone .
																					6720_submitter_file1__Cowansgap-32.jpg	plastic bag	a kite flying in the sky over a tree .
																					6724_submitter_file1__BLUEHILLg_2.JPG	parachute, chute	a group of people flying kites in a field .
																					6728_submitter_file1__ufo.jpg	limousine, limo	a car is parked on the side of the road .
																					6737_submitter_file1__UFO.jpg	wing	a kite flying in the sky over a city .
																					6762_submitter_file1__ScannedImage.jpg	ballpoint, ballpoint pen, ballpen, Biro	a black and white photo of a toothbrush in the water .
																					6762_submitter_file2__ScannedImage.jpg	ballpoint, ballpoint pen, ballpen, Biro	a black and white photo of a toothbrush in the water .
																					6762_submitter_file3__ScannedImage.jpg	ballpoint, ballpoint pen, ballpen, Biro	a black and white photo of a toothbrush in the water .
																					6766_submitter_file1__two_lights.jpg	airship, dirigible	a person flying a kite on a beach .
																					6766_submitter_file2__two_lights_zoom.jpg	switch, electric switch, electrical switch	a kite flying in the sky over a body of water .
																					6775_submitter_file1__DSC00607.JPG	nematode, nematode worm, roundworm	a group of people standing in the snow holding a red frisbee .
																					6775_submitter_file2__DSC00606.JPG	jack-o'-lantern	a person flying a kite in the sky .
																					6779_submitter_file1__shiprockOriginal.jpg	cliff, drop, drop-off	a person is riding a wave on a surfboard .
																					6779_submitter_file2__shiprockwidedarker.jpg	alp	a view of a mountain range with a mountain in the background .
																					6779_submitter_file3__shiprockhisto.jpg	alp	a person is holding an umbrella in the snow .
																					6780_submitter_file1__DSC02225.JPG	digital clock	a black and white photo of a street light .
																					6791_submitter_file2__orb1.JPG	lakeside, lakeshore	a large body of water with lots of trees .
																					6793_submitter_file1__1of2.jpg	parachute, chute	a plane flying in the sky with a sky background
																					6793_submitter_file2__2of2.jpg	wing	a plane flying in the sky with a sky background
																					6793_submitter_file3__aboveVancouver.jpg	vulture	a bird flying in the sky with a sky background
																					6806_submitter_file1__Imagen006.jpg	parachute, chute	a bird flying over a body of water .
																					6813_submitter_file1__UFOPuertoVallarta.JPG	lakeside, lakeshore	a large body of water with mountains in the background .
