State   County  Year    UFOSightingCount   Population_Density   Housing_Density
Florida  duval  2002  9  1133.9  509.7
Connecticut  hartford  2001  11  1216.2  509.1
New Hampshire  merrimack  2007  3  156.8  68.0
California  tehama  2003  1  21.5  9.1
Missouri  cape girardeau  2005  2  130.8  56.4
Iowa  jefferson  2009  1  38.7  17.4
Maryland  montgomery  2008  5  1978.2  765.2
Texas  brazoria  1995  3  174.4  65.4
Washington  yakima  2001  4  56.6  19.9
Nevada  nye  2005  2  2.4  1.2
Minnesota  sherburne  2002  1  204.4  74.8
New York  oneida  2005  4  193.7  85.9
Missouri  boone  2007  13  237.3  101.5
Ohio  putnam  1999  1  71.8  26.4
California  san mateo  2006  14  1602.2  604.4
Oregon  marion  2006  4  266.7  102.3
Ohio  lucas  2007  1  1296.2  594.5
New York  rockland  2007  1  1795.9  599.6
Kentucky  jefferson  1995  2  1801.2  794.2
Georgia  bulloch  2001  1  104.4  42.8
Kentucky  whitley  2008  1  81.4  34.6
Idaho  kootenai  2003  1  111.3  50.8
Mississippi  lauderdale  2000  1  111.1  47.5
Michigan  livingston  1997  2  276.1  103.7
Kentucky  boone  2010  1  482.3  187.3
California  shasta  2003  5  46.9  20.5
Indiana  wayne  2000  1  176.2  75.5
Michigan  kent  2003  2  711.5  291.5
Maine  penobscot  1997  1  42.7  19.7
Pennsylvania  lehigh  2001  1  1012.5  413.2
Ohio  pickaway  2010  1  111.1  42.4
New Jersey  bergen  2003  5  3884.5  1512.3
California  merced  2005  1  132.2  43.3
New Jersey  union  2006  7  5216.1  1939.5
Colorado  douglas  2005  6  339.7  127.2
Nebraska  gage  2009  2  26.2  12.3
Texas  brown  2008  2  40.3  19.4
Georgia  newton  2005  2  367.3  140.9
Pennsylvania  westmoreland  2008  4  355.4  163.7
Arizona  yavapai  1993  1  20.6  10.1
California  santa cruz  2010  8  589.4  234.7
Michigan  sanilac  1997  2  46.2  22.1
New York  ontario  2003  1  167.6  74.8
New Jersey  camden  2000  1  2289.4  898.2
Ohio  adams  2006  1  48.9  22.2
Georgia  pierce  2004  1  59.3  25.2
Massachusetts  franklin  2009  3  102.1  48.3
New Mexico  sierra  2009  2  2.9  2.0
Georgia  fayette  2008  1  548.3  209.9
North Carolina  guilford  1996  2  648.3  277.8
Pennsylvania  montgomery  2002  7  1655.9  674.3
Kentucky  barren  2000  1  77.5  34.8
Texas  johnson  2005  1  208.3  78.3
Pennsylvania  schuylkill  2010  3  190.4  89.0
Georgia  whitfield  2008  1  353.2  137.4
Tennessee  davidson  1996  1  1134.6  503.7
Pennsylvania  butler  2009  1  233.1  99.1
Ohio  stark  2010  1  652.9  287.2
Indiana  jackson  1995  1  81.2  33.6
California  tuolumne  2006  5  24.9  14.1
Pennsylvania  delaware  2008  13  3040.5  1212.5
Ohio  geauga  1998  1  225.2  81.3
Iowa  dubuque  2007  1  154.0  64.0
South Dakota  dewey  1994  1  2.6  0.9
Texas  comanche  2005  4  14.9  7.7
North Dakota  stark  2000  1  16.9  7.3
New Hampshire  carroll  2006  1  51.4  42.8
North Carolina  washington  2008  1  38.0  18.6
Idaho  bingham  2003  3  21.8  7.7
Kentucky  letcher  2005  2  72.6  34.3
North Carolina  lee  2009  1  227.0  94.7
Kansas  saline  2000  1  74.5  31.5
Kentucky  laurel  2007  1  135.6  58.6
Oregon  douglas  1997  2  19.9  8.6
Pennsylvania  cumberland  2010  2  431.6  183.3
Missouri  marion  2004  1  65.9  29.4
Maryland  frederick  2009  2  353.5  136.5
Michigan  kalamazoo  2008  5  445.7  195.9
Maine  kennebec  2010  1  140.8  70.3
Texas  henderson  2002  1  89.9  45.3
Missouri  buchanan  2008  1  218.6  94.2
Maryland  charles  2003  1  320.2  120.1
Missouri  saline  1999  2  31.4  13.3
Oklahoma  wagoner  1996  1  102.1  41.2
Tennessee  dickson  2007  1  101.4  42.5
New York  new york  1999  6  66940.1  34756.7
Georgia  macon  1996  1  34.9  13.6
Arizona  apache  2003  2  6.4  2.9
Pennsylvania  allegheny  2001  5  1675.6  807.0
California  mono  2006  2  4.7  4.6
New Jersey  passaic  2004  2  2715.3  953.3
California  contra costa  2009  11  1465.2  559.1
Alabama  lauderdale  1992  1  131.4  60.4
Texas  hidalgo  2002  1  493.2  158.1
Colorado  fremont  1999  1  30.1  11.2
New Mexico  torrance  2008  2  4.9  2.3
Iowa  emmet  2004  2  26.0  12.0
California  humboldt  2001  2  37.7  17.3
Pennsylvania  bucks  2002  8  1034.7  407.0
Washington  kitsap  1992  1  585.8  234.0
New York  cattaraugus  1998  1  64.1  30.4
South Carolina  spartanburg  2002  1  351.9  151.8
Vermont  windsor  2004  2  58.5  35.2
Montana  yellowstone  2001  1  56.2  24.3
New Mexico  mckinley  2003  2  13.1  4.7
Maryland  allegany  2001  1  177.0  78.5
New York  livingston  1992  1  101.8  38.0
New Mexico  sandoval  2005  7  35.5  14.1
New York  broome  2003  6  284.2  128.3
Rhode Island  providence  2010  3  1530.3  646.7
Tennessee  henderson  2008  1  53.4  24.6
South Dakota  shannon  2010  1  6.5  1.7
Illinois  livingston  2006  2  37.3  15.2
Georgia  spalding  2005  1  326.1  136.3
Ohio  muskingum  2003  1  129.5  57.3
Colorado  garfield  2009  2  19.1  7.9
Illinois  knox  2000  2  78.0  33.1
Maine  androscoggin  1997  1  220.7  97.7
Florida  collier  2009  2  160.9  98.7
Indiana  owen  2008  2  56.0  26.2
Pennsylvania  bedford  2000  1  49.3  23.2
Kansas  sedgwick  2000  5  453.2  191.3
Pennsylvania  erie  2004  3  351.1  149.1
Hawaii  maui  2009  2  133.3  60.6
Illinois  mcdonough  1999  1  55.9  22.6
New Jersey  hudson  2009  6  13731.4  5852.5
Texas  harris  1995  1  1967.0  750.9
Tennessee  franklin  2009  1  74.0  33.7
Oregon  multnomah  2006  1  1704.9  753.2
Colorado  huerfano  2005  1  4.2  3.2
Tennessee  morgan  2004  1  42.1  17.1
Connecticut  hartford  1992  2  1165.5  480.0
Pennsylvania  cambria  2002  1  208.7  95.4
Utah  tooele  1999  2  5.9  2.0
Missouri  greene  1998  1  356.1  154.8
Kansas  johnson  2000  5  946.1  380.9
Ohio  delaware  2007  9  393.2  149.8
Iowa  jefferson  2000  1  37.2  16.6
Maryland  montgomery  2001  6  1978.2  765.2
Nevada  nye  1996  1  1.8  0.9
Iowa  clayton  2001  1  23.3  11.6
Ohio  columbiana  2002  2  202.7  88.5
New York  oneida  2010  2  193.7  85.9
Puerto Rico  vega baja  1998  1  1349.5  479.2
Texas  upshur  2007  1  67.4  28.5
Illinois  winnebago  2008  5  575.2  245.4
Alabama  madison  2002  2  417.7  182.7
Ohio  putnam  2000  1  71.8  26.4
Ohio  greene  2006  7  390.5  164.9
Florida  franklin  2008  2  21.6  16.2
Georgia  jackson  2007  1  178.1  69.9
California  sonoma  2009  15  307.1  129.8
New York  rockland  1998  1  1645.9  545.1
New York  fulton  2001  1  112.1  57.6
Illinois  mclean  1995  1  127.1  50.7
Alabama  limestone  1998  1  115.6  47.3
Kentucky  jefferson  2000  5  1801.2  794.2
New Mexico  socorro  1999  1  2.7  1.2
Illinois  jefferson  2002  1  68.0  29.7
Ohio  jefferson  2000  2  180.4  81.3
California  shasta  2008  3  46.9  20.5
Michigan  kent  2008  5  711.5  291.5
Oklahoma  lincoln  2006  1  36.0  16.0
New Mexico  colfax  1995  1  3.8  2.4
Ohio  carroll  2004  1  73.1  34.7
Oklahoma  le flore  2010  3  31.7  13.5
Ohio  pickaway  2003  1  111.1  42.4
Mississippi  yazoo  2007  1  30.4  10.9
New Jersey  bergen  2010  3  3884.5  1512.3
Kansas  russell  2005  1  7.9  4.4
Indiana  putnam  2003  1  79.0  30.6
Puerto Rico  lares  2000  1  559.9  196.2
Missouri  phelps  2006  1  67.2  29.1
Massachusetts  hampden  1996  1  737.8  300.6
Florida  highlands  2008  2  97.2  54.5
Wisconsin  sheboygan  1997  1  219.3  89.5
Texas  brown  2001  1  40.3  19.4
Pennsylvania  westmoreland  2001  8  355.4  163.7
Michigan  macomb  2000  5  1640.5  666.6
North Carolina  durham  2000  1  769.2  328.8
Washington  king  2003  37  912.9  402.4
Ohio  ashtabula  1995  2  146.2  62.3
Ohio  guernsey  1993  1  78.2  36.0
Oklahoma  pontotoc  2001  1  52.0  23.0
Wisconsin  douglas  2007  1  33.9  17.5
New York  ontario  1994  1  155.5  66.2
Texas  webb  2009  2  74.5  21.9
Montana  lincoln  1995  1  5.2  2.6
North Carolina  ashe  1993  1  57.2  31.1
New York  suffolk  2009  22  1637.4  624.9
West Virginia  jefferson  1999  1  201.4  84.1
New Jersey  camden  2009  1  2321.5  926.2
South Carolina  greenville  2008  2  574.7  249.0
Texas  val verde  2002  1  15.5  5.9
Pennsylvania  centre  2007  2  138.7  57.0
Texas  liberty  1997  1  60.5  22.7
California  lassen  2002  1  7.7  2.8
California  calaveras  1998  1  39.8  22.5
Indiana  warrick  2003  2  155.1  62.9
Vermont  chittenden  1997  2  271.9  109.2
Wyoming  campbell  2008  1  9.6  3.9
Minnesota  anoka  1998  4  703.7  255.2
Pennsylvania  schuylkill  2003  3  190.4  89.0
Wisconsin  pierce  1992  1  63.8  23.4
Texas  hunt  1991  1  91.1  38.6
Virginia  southampton  2002  1  31.0  12.5
Illinois  sangamon  2005  2  227.4  103.5
Ohio  stark  2001  4  652.9  287.2
Pennsylvania  butler  2002  1  233.1  99.1
Washington  okanogan  2001  2  7.8  4.2
Ohio  montgomery  1993  1  1210.9  538.1
California  san joaquin  2002  3  492.6  168.0
Wisconsin  kenosha  2005  2  611.9  254.7
Pennsylvania  delaware  2003  8  3040.5  1212.5
Wisconsin  washburn  2000  1  19.8  13.4
Utah  grand  2001  1  2.5  1.3
Florida  santa rosa  1998  2  115.8  48.3
Iowa  crawford  2004  1  23.9  9.7
North Carolina  washington  2003  1  38.0  18.6
Florida  citrus  2004  2  242.8  134.1
Ohio  medina  1999  2  358.4  134.7
Massachusetts  norfolk  2006  5  1693.6  682.5
Michigan  wayne  1996  2  3356.1  1345.2
Indiana  brown  2007  1  48.9  26.6
Maine  kennebec  2001  3  140.8  70.3
Arkansas  pulaski  2007  4  503.8  231.1
California  inyo  2010  1  1.8  0.9
Washington  lewis  2002  1  31.4  14.2
Wisconsin  milwaukee  2005  10  3926.0  1731.8
Kentucky  calloway  2008  1  96.6  46.9
Idaho  twin falls  2000  2  33.4  13.3
North Carolina  rutherford  2003  1  120.2  60.1
New Jersey  passaic  1999  1  2639.3  917.7
New Hampshire  strafford  1993  1  304.4  123.5
Texas  montgomery  2006  3  437.5  170.5
Texas  hidalgo  1995  1  362.8  122.7
Georgia  wayne  2010  1  46.9  19.0
Maryland  calvert  2005  1  416.3  158.5
Washington  ferry  1998  1  3.3  1.7
Wisconsin  ozaukee  2001  1  370.7  155.6
Colorado  san miguel  1998  1  5.1  4.0
California  humboldt  2010  3  37.7  17.3
Indiana  noble  2007  1  115.7  48.9
Arkansas  baxter  2009  2  74.9  40.7
North Dakota  burleigh  2009  1  49.8  21.9
Pennsylvania  bucks  2009  12  1034.7  407.0
New York  cattaraugus  2007  1  61.4  31.4
Montana  yellowstone  2008  2  56.2  24.3
Wisconsin  columbia  2001  2  74.2  34.1
Tennessee  sumner  1995  1  246.5  97.6
Missouri  cooper  2001  1  31.2  13.2
Michigan  ionia  1997  3  107.3  38.4
Alabama  jefferson  2006  2  592.5  270.5
Maryland  howard  2010  1  1144.9  435.8
Utah  box elder  1999  2  7.5  2.5
Nevada  clark  2004  21  247.3  106.5
Mississippi  monroe  2008  1  48.3  21.5
Wisconsin  juneau  2005  1  34.8  19.1
South Dakota  shannon  2003  1  6.5  1.7
West Virginia  kanawha  1999  1  221.5  103.9
Mississippi  lafayette  2005  1  75.0  36.0
Massachusetts  berkshire  2002  1  141.6  73.9
Florida  escambia  1995  1  444.5  188.2
Georgia  murray  2009  1  115.0  46.4
Illinois  macoupin  1998  1  56.8  24.4
Tennessee  shelby  1998  5  1189.4  481.0
Tennessee  lauderdale  1997  1  57.6  22.5
Florida  collier  1998  1  124.1  71.4
Arizona  mohave  2002  2  15.0  8.3
Missouri  linn  2006  2  20.7  10.4
Texas  midland  2006  2  152.0  60.4
Ohio  fayette  2007  1  71.4  31.2
Oregon  linn  2003  2  50.9  21.3
Kansas  sedgwick  2009  4  499.6  212.1
New Jersey  hudson  1998  1  13043.6  5153.8
Indiana  floyd  2009  1  504.1  216.1
Kentucky  fleming  2008  2  41.2  19.0
Oklahoma  stephens  2007  1  51.8  23.7
Ohio  clermont  2006  7  436.5  178.4
Georgia  houston  2003  1  372.5  155.3
Wisconsin  washington  2006  1  306.2  127.0
Georgia  haralson  1991  1  91.1  38.0
Virginia  stafford  2007  2  479.5  163.5
Florida  orange  2000  3  987.8  398.2
Illinois  winnebago  2003  4  575.2  245.4
Georgia  barrow  2010  2  432.7  164.7
California  san mateo  1992  1  1574.7  580.3
Florida  sarasota  1998  1  570.3  319.2
Pennsylvania  adams  2004  2  195.5  78.7
Iowa  page  2009  1  29.8  13.4
Tennessee  coffee  2001  1  123.1  54.6
California  sonoma  2002  10  307.1  129.8
Kentucky  jefferson  2009  10  1948.1  887.5
West Virginia  berkeley  2009  2  324.4  139.4
Michigan  calhoun  2007  1  192.8  86.4
New Mexico  san juan  1995  1  20.6  7.8
North Carolina  orange  2001  2  336.2  139.7
Kentucky  christian  2005  2  103.1  41.1
Pennsylvania  fayette  2008  1  172.8  79.4
Maine  penobscot  2003  6  45.3  21.7
Iowa  jones  2007  1  35.9  15.5
Oklahoma  comanche  1998  2  107.5  42.5
New York  albany  2008  5  581.9  263.5
